scope;FixedPointCasts
ifid;In1;In2;In3;In4;In5;In6;Out1;Out3;Out5;Out7;Out9;Out11
baseType;double;double;double;double;double;double;boolean;boolean;boolean;boolean;boolean;boolean
identifier;INPUT:In1;INPUT:In2;INPUT:In3;INPUT:In4;INPUT:In5;INPUT:In6;OUTPUT:Out1;OUTPUT:Out3;OUTPUT:Out5;OUTPUT:Out7;OUTPUT:Out9;OUTPUT:Out11
kind;Input;Input;Input;Input;Input;Input;Output;Output;Output;Output;Output;Output
0.0;0.0;0.0;1.0;1.0;0.0;-2.0;1;1;1;1;1;1
1.0;0.275;0.275;0.9999999999999999;12.0;0.4444444444444445;-1.5555555555555556;1;1;1;1;1;1
2.0;0.55;0.55;0.9999999999999998;23.0;0.888888888888889;-1.1111111111111112;1;1;1;1;1;1
3.0;0.8250000000000001;0.8250000000000001;0.9999999999999997;34.0;1.3333333333333335;-0.6666666666666667;1;1;1;1;1;1
4.0;1.1;1.1;0.9999999999999996;45.0;1.777777777777778;-0.22222222222222232;1;1;1;1;1;1
5.0;0.0;0.0;0.9999999999999994;56.0;2.2222222222222223;0.22222222222222232;1;1;1;1;1;1
6.0;-0.275;-0.275;0.9999999999999993;67.0;2.666666666666667;0.6666666666666665;1;1;1;1;1;1
7.0;-0.55;-0.55;0.9999999999999992;78.0;3.111111111111111;1.1111111111111107;1;1;1;1;1;1
8.0;-0.8250000000000001;-0.8250000000000001;0.9999999999999991;89.0;3.555555555555556;1.5555555555555554;1;1;1;1;1;1
9.0;-1.1;-1.1;0.999999999999999;100.0;4.0;2.0;1;1;1;1;1;1
10.0;-1.000000000000001;-1.000000000000001;1.0;-1.000000000000001;-1.00000000000000;-1.00000000000000;1;1;1;1;1;1

